[WARNING] ME(34116:44792,MainProcess):2026-02-10-01:28:52.429.471 [mindspore\context.py:1334] For 'context.set_context', the parameter 'device_target' will be deprecated and removed in a future version. Please use the api mindspore.set_device() instead.
Loading MIMIC Data...
Starting MindSpore Hybrid Training (Vitals + NLP)...
epoch: 1 step: 100, loss is 1.0718151330947876
epoch: 10 step: 550, loss is 0.6453404426574707
epoch: 10 step: 650, loss is 0.8271424770355225
epoch: 10 step: 750, loss is 0.8491517901420593
epoch: 10 step: 850, loss is 0.7254799008369446
epoch: 10 step: 950, loss is 0.8724908232688904
epoch: 10 step: 1050, loss is 0.8217540979385376
epoch: 10 step: 1150, loss is 0.7984896898269653
epoch: 10 step: 1250, loss is 0.7169327139854431
epoch: 11 step: 100, loss is 0.7844609022140503
epoch: 11 step: 200, loss is 0.7748838663101196
epoch: 11 step: 300, loss is 0.8494850397109985
epoch: 11 step: 400, loss is 0.7279887795448303
epoch: 11 step: 500, loss is 0.7276058197021484
epoch: 11 step: 600, loss is 0.7850368022918701
epoch: 11 step: 700, loss is 0.7626681923866272
epoch: 11 step: 800, loss is 1.0003399848937988
epoch: 11 step: 900, loss is 0.8899662494659424
epoch: 11 step: 1000, loss is 0.7163408994674683
epoch: 11 step: 1100, loss is 0.7886351943016052
epoch: 11 step: 1200, loss is 0.8391067385673523
epoch: 12 step: 50, loss is 0.7739306688308716
epoch: 12 step: 150, loss is 0.7355314493179321
epoch: 12 step: 250, loss is 0.7657902240753174
epoch: 12 step: 350, loss is 0.8542801737785339
epoch: 12 step: 450, loss is 0.7058122754096985
epoch: 12 step: 550, loss is 0.7210559248924255
epoch: 12 step: 650, loss is 0.8320852518081665
epoch: 12 step: 750, loss is 0.9133524298667908
epoch: 12 step: 850, loss is 0.784313976764679
epoch: 12 step: 950, loss is 0.7518084049224854
epoch: 12 step: 1050, loss is 0.7693061828613281
epoch: 12 step: 1150, loss is 0.7605895400047302
epoch: 12 step: 1250, loss is 0.814420223236084
epoch: 13 step: 100, loss is 0.7840847373008728
epoch: 13 step: 200, loss is 0.7577887177467346
epoch: 13 step: 300, loss is 0.6286529898643494
epoch: 13 step: 400, loss is 0.7705196142196655
epoch: 13 step: 500, loss is 0.9014005064964294
epoch: 13 step: 600, loss is 0.7676340937614441
epoch: 13 step: 700, loss is 0.8064918518066406
epoch: 13 step: 800, loss is 0.7807319760322571
epoch: 13 step: 900, loss is 0.8263940215110779
epoch: 13 step: 1000, loss is 0.8528021574020386
epoch: 13 step: 1100, loss is 0.8462547063827515
epoch: 13 step: 1200, loss is 0.7809326648712158
epoch: 14 step: 50, loss is 0.7938777804374695
epoch: 14 step: 150, loss is 0.8354626893997192
epoch: 14 step: 250, loss is 0.7182440161705017
epoch: 14 step: 350, loss is 0.7857698202133179
epoch: 14 step: 450, loss is 0.8225294947624207
epoch: 14 step: 550, loss is 0.7883186936378479
epoch: 14 step: 650, loss is 0.7573450207710266
epoch: 14 step: 750, loss is 0.7727963924407959
epoch: 14 step: 850, loss is 0.7033177018165588
epoch: 14 step: 950, loss is 0.7688179016113281
epoch: 14 step: 1050, loss is 0.7280645966529846
epoch: 14 step: 1150, loss is 0.8279926180839539
epoch: 14 step: 1250, loss is 0.8373854160308838
epoch: 15 step: 100, loss is 0.8097385168075562
epoch: 15 step: 200, loss is 0.7942681908607483
epoch: 15 step: 300, loss is 0.8739083409309387
epoch: 15 step: 400, loss is 0.766640841960907
epoch: 15 step: 500, loss is 0.7923787236213684
epoch: 15 step: 600, loss is 0.7434287667274475
epoch: 15 step: 700, loss is 0.7684275507926941
epoch: 15 step: 800, loss is 0.757707417011261
epoch: 15 step: 900, loss is 0.7756961584091187
epoch: 15 step: 1000, loss is 0.8734150528907776
epoch: 15 step: 1100, loss is 0.85223788022995
epoch: 15 step: 1200, loss is 0.7463341355323792

Evaluating Model on Test Set...
Exact ESI 5-Class Accuracy: 65.27%
Top-2 Triage Accuracy (Within 1 ESI Level): 98.22%
High-Urgency Detection Accuracy (Critical vs Stable): 74.80%
Precision (Macro): 0.51
Recall (Macro): 0.38
F1 Score (Macro): 0.40
Model saved to mimic_risk_model_advanced.ckpt
